relation,display_relation,x_type,x_name,y_type,y_name
contraindication,contraindication,drug,meloxicam,disease,hypertensive disorder
contraindication,contraindication,drug,meloxicam,disease,hypertension
contraindication,contraindication,drug,morphine,disease,hypertensive disorder
contraindication,contraindication,drug,morphine,disease,hypertension
contraindication,contraindication,drug,prednisone,disease,hypertensive disorder
contraindication,contraindication,drug,prednisone,disease,hypertension
contraindication,contraindication,drug,scopolamine,disease,hypertensive disorder
contraindication,contraindication,drug,scopolamine,disease,hypertension
contraindication,contraindication,drug,fentanyl,disease,hypertensive disorder
contraindication,contraindication,drug,fentanyl,disease,hypertension
contraindication,contraindication,drug,ketoprofen,disease,hypertensive disorder
contraindication,contraindication,drug,ketoprofen,disease,hypertension
contraindication,contraindication,drug,desmopressin,disease,hypertensive disorder
contraindication,contraindication,drug,desmopressin,disease,hypertension
contraindication,contraindication,drug,ibuprofen,disease,hypertensive disorder
contraindication,contraindication,drug,ibuprofen,disease,hypertension
contraindication,contraindication,drug,amantadine,disease,multiple system atrophy
contraindication,contraindication,drug,amantadine,disease,postural orthostatic tachycardia syndrome
contraindication,contraindication,drug,amantadine,disease,orthostatic hypotension
contraindication,contraindication,drug,terazosin,disease,multiple system atrophy
contraindication,contraindication,drug,terazosin,disease,postural orthostatic tachycardia syndrome
contraindication,contraindication,drug,terazosin,disease,orthostatic hypotension
contraindication,contraindication,drug,morphine,disease,multiple system atrophy
contraindication,contraindication,drug,morphine,disease,postural orthostatic tachycardia syndrome
contraindication,contraindication,drug,morphine,disease,orthostatic hypotension
contraindication,contraindication,drug,fentanyl,disease,multiple system atrophy
contraindication,contraindication,drug,fentanyl,disease,postural orthostatic tachycardia syndrome
contraindication,contraindication,drug,fentanyl,disease,orthostatic hypotension
contraindication,contraindication,drug,morphine,disease,drug-induced dyskinesia
contraindication,contraindication,drug,clarithromycin,disease,long qt syndrome
contraindication,contraindication,drug,ketoconazole,disease,long qt syndrome
contraindication,contraindication,drug,morphine,disease,long qt syndrome
contraindication,contraindication,drug,fentanyl,disease,long qt syndrome
contraindication,contraindication,drug,moxifloxacin,disease,long qt syndrome
contraindication,contraindication,drug,ketoconazole,disease,familial long qt syndrome
contraindication,contraindication,drug,morphine,disease,familial long qt syndrome
contraindication,contraindication,drug,fentanyl,disease,familial long qt syndrome
contraindication,contraindication,drug,galantamine,disease,familial long qt syndrome
contraindication,contraindication,drug,moxifloxacin,disease,familial long qt syndrome
contraindication,contraindication,drug,clarithromycin,disease,torsades de pointes
contraindication,contraindication,drug,ketoconazole,disease,torsades de pointes
contraindication,contraindication,drug,morphine,disease,torsades de pointes
contraindication,contraindication,drug,fentanyl,disease,torsades de pointes
contraindication,contraindication,drug,moxifloxacin,disease,torsades de pointes
contraindication,contraindication,drug,clarithromycin,disease,liver failure
contraindication,contraindication,drug,mannitol,disease,liver failure
contraindication,contraindication,drug,metformin,disease,liver failure
contraindication,contraindication,drug,morphine,disease,liver failure
contraindication,contraindication,drug,acitretin,disease,liver failure
contraindication,contraindication,drug,tizanidine,disease,liver failure
contraindication,contraindication,drug,scopolamine,disease,liver failure
contraindication,contraindication,drug,fentanyl,disease,liver failure
contraindication,contraindication,drug,galantamine,disease,liver failure
contraindication,contraindication,drug,zidovudine,disease,liver failure
contraindication,contraindication,drug,ketoprofen,disease,liver failure
contraindication,contraindication,drug,tadalafil,disease,liver failure
contraindication,contraindication,drug,ibuprofen,disease,liver failure
contraindication,contraindication,drug,bosentan,disease,liver failure
contraindication,contraindication,drug,sildenafil,disease,liver failure
contraindication,contraindication,drug,amantadine,disease,epilepsy
contraindication,contraindication,drug,morphine,disease,epilepsy
contraindication,contraindication,drug,prednisone,disease,epilepsy
contraindication,contraindication,drug,scopolamine,disease,epilepsy
contraindication,contraindication,drug,galantamine,disease,epilepsy
contraindication,contraindication,drug,tadalafil,disease,epilepsy
contraindication,contraindication,drug,ibuprofen,disease,epilepsy
contraindication,contraindication,drug,moxifloxacin,disease,epilepsy
contraindication,contraindication,drug,bacitracin,disease,epilepsy
contraindication,contraindication,drug,resorcinol,disease,epilepsy
contraindication,contraindication,drug,fentanyl,disease,basal ganglia disease
contraindication,contraindication,drug,fentanyl,disease,focal hand dystonia
contraindication,contraindication,drug,fentanyl,disease,blepharospasm
