relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
drug_drug,synergistic interaction,14595,DB00035,drug,desmopressin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,17585,DB00065,drug,infliximab,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15076,DB00187,drug,esmolol,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14937,DB00203,drug,sildenafil,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15289,DB00218,drug,moxifloxacin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15425,DB00254,drug,doxycycline,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,16588,DB00331,drug,metformin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15299,DB00440,drug,trimethoprim,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,20412,DB00479,drug,amikacin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14181,DB00495,drug,zidovudine,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15446,DB00559,drug,bosentan,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,18036,DB00626,drug,bacitracin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14024,DB00635,drug,prednisone,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,20570,DB00658,drug,sevelamer,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14027,DB00687,drug,fludrocortisone,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14635,DB00727,drug,nitroglycerin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,20339,DB00742,drug,mannitol,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14662,DB00811,drug,ribavirin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14241,DB00813,drug,fentanyl,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14971,DB00820,drug,tadalafil,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14830,DB00915,drug,amantadine,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14271,DB00982,drug,isotretinoin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14278,DB01009,drug,ketoprofen,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14281,DB01026,drug,ketoconazole,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15818,DB01043,drug,memantine,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14285,DB01044,drug,gatifloxacin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14287,DB01050,drug,ibuprofen,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14295,DB01069,drug,promethazine,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14312,DB01159,drug,halothane,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,16303,DB01162,drug,terazosin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14991,DB01166,drug,cilostazol,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,15164,DB01392,drug,yohimbine,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,20401,DB01421,drug,paromomycin,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,17345,DB11085,drug,resorcinol,DrugBank,14242,DB00814,drug,meloxicam,DrugBank
drug_drug,synergistic interaction,14595,DB00035,drug,desmopressin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15076,DB00187,drug,esmolol,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15289,DB00218,drug,moxifloxacin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15425,DB00254,drug,doxycycline,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14150,DB00295,drug,morphine,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,16588,DB00331,drug,metformin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15299,DB00440,drug,trimethoprim,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,20412,DB00479,drug,amikacin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14181,DB00495,drug,zidovudine,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15446,DB00559,drug,bosentan,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,18036,DB00626,drug,bacitracin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14024,DB00635,drug,prednisone,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,20570,DB00658,drug,sevelamer,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14027,DB00687,drug,fludrocortisone,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14635,DB00727,drug,nitroglycerin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,20339,DB00742,drug,mannitol,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14662,DB00811,drug,ribavirin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14241,DB00813,drug,fentanyl,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14242,DB00814,drug,meloxicam,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14971,DB00820,drug,tadalafil,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14830,DB00915,drug,amantadine,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14271,DB00982,drug,isotretinoin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14281,DB01026,drug,ketoconazole,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15818,DB01043,drug,memantine,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14285,DB01044,drug,gatifloxacin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14287,DB01050,drug,ibuprofen,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14295,DB01069,drug,promethazine,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14312,DB01159,drug,halothane,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,16303,DB01162,drug,terazosin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14991,DB01166,drug,cilostazol,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,15164,DB01392,drug,yohimbine,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,20401,DB01421,drug,paromomycin,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,17345,DB11085,drug,resorcinol,DrugBank,14278,DB01009,drug,ketoprofen,DrugBank
drug_drug,synergistic interaction,14595,DB00035,drug,desmopressin,DrugBank,14991,DB01166,drug,cilostazol,DrugBank
drug_drug,synergistic interaction,17585,DB00065,drug,infliximab,DrugBank,14991,DB01166,drug,cilostazol,DrugBank
drug_drug,synergistic interaction,15076,DB00187,drug,esmolol,DrugBank,14991,DB01166,drug,cilostazol,DrugBank
drug_drug,synergistic interaction,14937,DB00203,drug,sildenafil,DrugBank,14991,DB01166,drug,cilostazol,DrugBank
drug_drug,synergistic interaction,15289,DB00218,drug,moxifloxacin,DrugBank,14991,DB01166,drug,cilostazol,DrugBank
